id,fillKey
AFG,Low
ALB,High
DZA,Mid
AND,High
AGO,Low
ATG,High
ARG,High
ARM,High
AUS,High
AUT,High
AZE,High
BHS,High
BHR,High
BGD,Low
BRB,High
BLR,High
BEL,High
BLZ,Mid
BEN,Low
BTN,Low
BOL,Mid
BIH,Mid
BWA,Mid
BRA,Mid
BGR,High
BFA,Low
BDI,Low
KHM,Low
CMR,Mid
CAN,High
CAF,Low
TCD,Low
CHL,High
CHN,High
COL,Mid
COM,Mid
COD,Low
CRI,High
HRV,Mid
CUB,High
CYP,High
CZE,High
DNK,High
DJI,Low
DMA,High
DOM,Mid
ECU,Mid
EGY,Mid
SLV,Mid
GNQ,Mid
ERI,Low
EST,High
ETH,Low
FJI,High
FIN,High
FRA,High
GAB,Mid
GMB,Low
GEO,High
DEU,High
GHA,Mid
GRC,High
GRD,High
GTM,Mid
GIN,Low
GNB,Low
GUY,High
HTI,Mid
HND,Mid
HUN,High
ISL,High
IND,Mid
IDN,Mid
IRN,High
IRQ,Mid
IRL,High
ISR,High
ITA,High
JAM,High
JPN,High
JOR,High
KAZ,High
KEN,Mid
KIR,Mid
KWT,High
LVA,High
LBN,High
LSO,Mid
LBR,Low
LBY,Mid
LTU,High
LUX,High
MDG,Low
MWI,Low
MYS,High
MDV,Mid
MLI,Low
MLT,High
MHL,Mid
MRT,Low
MUS,High
MEX,High
MDA,High
MNG,Mid
MNE,High
MAR,Low
MOZ,Low
MMR,Mid
NAM,Mid
NPL,Low
NLD,High
NZL,High
NIC,Mid
NER,Low
NGA,Mid
PRK,High
NOR,High
OMN,Mid
PAK,Low
PAN,High
PNG,Mid
PRY,Mid
PER,High
PHL,High
POL,High
PRT,Mid
QAT,High
ROU,High
RUS,High
RWA,Low
WSM,High
STP,Mid
SAU,Mid
SEN,Low
SRB,High
SYC,High
SLE,Low
SGP,High
SVK,High
SVN,High
SLB,Mid
SOM,Low
ZAF,High
KOR,High
SSD,Low
ESP,High
LKA,High
SDN,Mid
SUR,Mid
SWE,High
CHE,High
TJK,High
THA,High
TLS,Mid
TGO,Low
TON,High
TTO,High
TUN,Mid
TUR,Mid
TKM,High
UGA,Mid
UKR,High
ARE,High
GBR,High
USA,High
URY,High
UZB,High
VUT,Mid
VEN,High
VNM,Mid
YEM,Low
ZMB,Mid
ZWE,Mid
