id,fillKey
AFG,Low
ALB,High
DZA,High
AND,High
AGO,Mid
ATG,High
ARG,High
ARM,High
AUS,High
AUT,High
AZE,High
BHS,High
BHR,High
BGD,Mid
BRB,High
BLR,High
BEL,High
BLZ,High
BEN,Low
BTN,Low
BOL,High
BIH,High
BWA,High
BRA,High
BGR,High
BFA,Low
BDI,Low
KHM,Mid
CMR,Mid
CAN,High
CAF,Low
TCD,Low
CHL,High
CHN,High
COL,High
COM,Mid
COD,Mid
CRI,High
HRV,High
CUB,High
CYP,High
CZE,High
DNK,High
DJI,Mid
DMA,High
DOM,High
ECU,High
EGY,High
SLV,High
GNQ,Mid
ERI,Mid
EST,High
ETH,Mid
FJI,High
FIN,High
FRA,High
GAB,High
GMB,Low
GEO,High
DEU,High
GHA,Mid
GRC,High
GRD,High
GTM,Mid
GIN,Low
GNB,Low
GUY,High
HTI,Mid
HND,Mid
HUN,High
ISL,High
IND,Mid
IDN,High
IRN,High
IRQ,Mid
IRL,High
ISR,High
ITA,High
JAM,High
JPN,High
JOR,High
KAZ,High
KEN,Mid
KIR,High
KWT,High
LVA,High
LBN,High
LSO,High
LBR,Low
LBY,Mid
LTU,High
LUX,High
MDG,Mid
MWI,Mid
MYS,High
MDV,Mid
MLI,Low
MLT,High
MHL,High
MRT,Mid
MUS,High
MEX,High
MDA,High
MNG,High
MNE,High
MAR,Mid
MOZ,Low
MMR,Mid
NAM,High
NPL,Mid
NLD,High
NZL,High
NIC,Mid
NER,Low
NGA,Mid
PRK,High
NOR,High
OMN,High
PAK,Mid
PAN,High
PNG,Mid
PRY,High
PER,High
PHL,High
POL,High
PRT,High
QAT,High
ROU,High
RUS,High
RWA,Mid
WSM,High
STP,Mid
SAU,High
SEN,Low
SRB,High
SYC,High
SLE,Low
SGP,High
SVK,High
SVN,High
SLB,Mid
SOM,Low
ZAF,High
KOR,High
SSD,Low
ESP,High
LKA,High
SDN,Mid
SUR,High
SWE,High
CHE,High
TJK,High
THA,High
TLS,Mid
TGO,Mid
TON,High
TTO,High
TUN,High
TUR,High
TKM,High
UGA,Mid
UKR,High
ARE,High
GBR,High
USA,High
URY,High
UZB,High
VUT,High
VEN,High
VNM,High
YEM,Low
ZMB,Mid
ZWE,High
