id,fillKey
AFG,Low
ALB,Mid
DZA,Mid
AGO,Low
ARG,Mid
ARM,Mid
AUS,High
AUT,High
AZE,Low
BHR,Mid
BGD,Low
BLR,Mid
BEL,High
BEN,Mid
BIH,Mid
BWA,High
BRA,Mid
BGR,Mid
BFA,Mid
BDI,Mid
KHM,Low
CMR,Low
CAN,High
CAF,Low
TCD,Low
CHL,High
CHN,Mid
COL,Mid
CRI,High
HRV,Mid
CUB,Mid
CYP,High
DNK,High
DOM,Mid
ECU,Mid
EGY,Low
SLV,Mid
GNQ,Low
ERI,Mid
EST,High
ETH,Mid
FIN,High
FRA,High
GAB,Low
GMB,Mid
GEO,Low
DEU,High
GHA,Mid
GRC,Mid
GTM,Low
GIN,Low
GNB,Low
HTI,Low
HND,Low
HUN,Mid
IND,Mid
IDN,Mid
IRN,Mid
IRQ,Low
IRL,High
ISR,High
ITA,Mid
JAM,High
JPN,High
JOR,Mid
KAZ,Mid
KEN,Mid
KWT,Mid
LVA,High
LBN,Low
LSO,Mid
LBR,Low
LBY,Low
LTU,High
MDG,Mid
MWI,Mid
MYS,Mid
MLI,Mid
MRT,Low
MUS,Mid
MEX,Mid
MDA,Mid
MNG,Mid
MAR,Mid
MOZ,Mid
MMR,Low
NAM,Mid
NPL,Mid
NLD,High
NZL,High
NIC,Mid
NER,Mid
NGA,Low
PRK,Low
NOR,High
OMN,Mid
PAK,Mid
PAN,Mid
PNG,Mid
PRY,Low
PER,Mid
PHL,Mid
POL,High
PRT,High
QAT,Mid
ROU,Mid
RUS,Low
RWA,Mid
SAU,Mid
SEN,Mid
SRB,Mid
SLE,Mid
SGP,High
SVK,Mid
SVN,High
SOM,Low
ZAF,Mid
KOR,High
ESP,High
LKA,Mid
SDN,Low
SWE,High
CHE,High
TJK,Low
THA,Mid
TLS,Mid
TGO,Low
TTO,High
TUN,Low
TUR,Mid
TKM,Low
UGA,Mid
UKR,Low
ARE,Mid
GBR,High
USA,High
URY,High
UZB,Low
VEN,Low
VNM,Mid
YEM,Low
ZMB,Mid
ZWE,Low
