id,fillKey
AFG,Mid
ALB,Mid
DZA,Low
AND,Mid
AGO,Mid
ATG,Mid
ARG,Mid
ARM,Mid
AUS,Mid
AUT,Mid
AZE,Mid
BHS,Mid
BHR,Mid
BGD,Mid
BRB,Mid
BLR,Low
BEL,Low
BLZ,High
BEN,Mid
BTN,Mid
BOL,High
BIH,Mid
BWA,High
BRA,High
BGR,Mid
BFA,Mid
BDI,Mid
KHM,Mid
CMR,Mid
CAN,Mid
CAF,High
TCD,Mid
CHL,Mid
CHN,Mid
COL,High
COM,High
COD,Mid
CRI,Mid
HRV,Mid
CUB,Mid
CYP,Mid
CZE,Low
DNK,Low
DJI,Mid
DMA,Mid
DOM,Mid
ECU,High
EGY,Mid
SLV,Mid
GNQ,Mid
ERI,Mid
EST,Mid
ETH,Mid
FJI,Mid
FIN,Low
FRA,Mid
GAB,Mid
GMB,Mid
GEO,Mid
DEU,Mid
GHA,Mid
GRC,Mid
GRD,Mid
GTM,High
GIN,Mid
GNB,Mid
GUY,Mid
HTI,High
HND,High
HUN,Low
ISL,Low
IND,Mid
IDN,Mid
IRN,Mid
IRQ,Low
IRL,Mid
ISR,Mid
ITA,Mid
JAM,Mid
JPN,Mid
JOR,Mid
KAZ,Low
KEN,Mid
KIR,Mid
KWT,Mid
LVA,Mid
LBN,Mid
LSO,High
LBR,Mid
LBY,Mid
LIE,Mid
LTU,Mid
LUX,Mid
MDG,Mid
MWI,Mid
MYS,Mid
MDV,Mid
MLI,Mid
MLT,Low
MHL,Mid
MRT,Mid
MUS,Mid
MEX,Mid
MDA,Mid
MCO,Mid
MNG,Mid
MNE,Mid
MAR,Mid
MOZ,Mid
MMR,Mid
NAM,High
NRU,Mid
NPL,Mid
NLD,Low
NZL,Mid
NIC,Mid
NER,Mid
NGA,Mid
PRK,Mid
NOR,Low
OMN,Mid
PAK,Mid
PLW,Mid
PAN,High
PNG,Mid
PRY,High
PER,Mid
PHL,Mid
POL,Mid
PRT,Mid
QAT,Mid
ROU,Mid
RUS,Mid
RWA,High
WSM,Mid
SMR,Mid
STP,Mid
SAU,Mid
SEN,Mid
SRB,Mid
SYC,Mid
SLE,Mid
SGP,Mid
SVK,Low
SVN,Low
SLB,Mid
SOM,Mid
ZAF,High
KOR,Mid
SSD,Mid
ESP,Mid
LKA,Mid
SDN,Mid
SUR,High
SWE,Low
CHE,Mid
TJK,Mid
THA,Mid
TLS,Low
TGO,Mid
TON,Mid
TTO,Mid
TUN,Mid
TUR,Mid
TKM,Mid
TUV,Mid
UGA,Mid
UKR,Low
ARE,Mid
GBR,Mid
USA,Mid
URY,Mid
UZB,Mid
VUT,Mid
VEN,Mid
VNM,Mid
YEM,Mid
ZMB,High
ZWE,Mid
